Problem_ID,Subcat,problem_latex,answer_latex
C_3x3_det_020,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & -6 & -9 \\ -7 & 9 & 0 \\ 7 & -1 & -7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 1176
C_3x3_det_021,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 1 & 3 & 6 \\ -1 & 1 & 8 \\ -4 & -5 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 22
C_3x3_det_022,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 5 & 9 & 4 \\ -7 & 6 & -9 \\ 9 & -3 & -7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -1647
C_3x3_det_023,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -2 & -2 & 6 \\ 7 & 9 & -3 \\ -1 & 7 & 7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 272
C_3x3_det_024,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & 3 & 4 \\ 1 & -4 & 4 \\ 1 & 1 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 182
C_3x3_det_025,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 5 & 6 & -5 \\ 1 & -8 & 3 \\ 2 & 4 & 8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -492
C_3x3_det_026,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 7 & 0 & -3 \\ -1 & -1 & 6 \\ 7 & -5 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 132
C_3x3_det_027,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -5 & -6 & -1 \\ 6 & -4 & -4 \\ 3 & 8 & 5 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 132
C_3x3_det_028,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 9 & 9 & 0 \\ -7 & -7 & -9 \\ 7 & -5 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -972
C_3x3_det_029,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 1 & 0 \\ -1 & -3 & 8 \\ -6 & 7 & -4 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 80
C_3x3_det_030,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & 9 & -1 \\ 0 & -8 & 5 \\ -8 & -9 & 7 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -230
C_3x3_det_031,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -4 & 2 & 3 \\ -1 & 0 & 2 \\ -4 & 6 & -9 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -4
C_3x3_det_032,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 7 & -8 & 3 \\ -2 & 4 & -3 \\ 9 & -4 & 9 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 156
C_3x3_det_033,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 3 & 2 & -2 \\ -6 & -5 & -3 \\ -6 & 0 & 4 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 84
C_3x3_det_034,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 6 & 0 & 5 \\ 6 & 5 & 0 \\ -2 & 6 & -3 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 140
C_3x3_det_035,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -1 & -6 & 4 \\ 2 & -5 & -4 \\ 1 & 1 & 4 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 116
C_3x3_det_036,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 6 & -1 \\ 4 & -3 & -6 \\ -6 & -2 & 6 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 188
C_3x3_det_037,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & -2 & -5 \\ 6 & 2 & 3 \\ 3 & 2 & 4 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -12
C_3x3_det_038,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & 5 & 3 \\ 3 & -1 & 4 \\ -2 & -6 & 5 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -289
C_3x3_det_039,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & -5 & 2 \\ -3 & 5 & -1 \\ -6 & 6 & 0 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -24
C_3x3_det_040,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 2 & 0 \\ -6 & 3 & -1 \\ 3 & 5 & 1 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -18
C_3x3_det_041,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 2 & -3 & -3 \\ -1 & 5 & 0 \\ -2 & 4 & 5 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 17
C_3x3_det_042,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 5 & -3 & 3 \\ 1 & -1 & -1 \\ -5 & -3 & 1 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -56
C_3x3_det_043,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 5 & 5 & -4 \\ 2 & -5 & 2 \\ -2 & -1 & 3 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -67
C_3x3_det_044,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -1 & 4 & 0 \\ 6 & 2 & -3 \\ 4 & -1 & 0 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -45
C_3x3_det_045,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -5 & -5 & 1 \\ -4 & 6 & 5 \\ 3 & 3 & 1 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -80
C_3x3_det_046,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -6 & -1 & 0 \\ 5 & -4 & 0 \\ -2 & -5 & -5 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -145
C_3x3_det_047,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} -2 & -5 & -6 \\ -2 & -4 & 1 \\ -6 & -3 & -1 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 134
C_3x3_det_048,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 6 & 2 & 5 \\ -2 & -1 & -1 \\ 5 & 6 & 6 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = -21
C_3x3_det_049,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 3 & 0 & 1 \\ 6 & -3 & -2 \\ 5 & -1 & -3 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 30
C_3x3_det_050,determinant,"Find the determinant of the 3×3 matrix A.

A = \begin{bmatrix} 1 & -2 & 5 \\ 5 & -3 & 0 \\ 6 & 3 & -4 \end{bmatrix}

Use cofactor expansion along the first row.
Show all intermediate steps. Put your final numerical answer inside \boxed{}.",\det(A) = 137
C_3x3_eig_001,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 0 & -1 & -7 \\ -1 & 6 & -2 \\ -7 & -2 & -6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -10.9074, 4.5753, 6.3321"
C_3x3_eig_002,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 0 & 5 & 6 \\ 5 & 8 & -6 \\ 6 & -6 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -13.9007, 2.9405, 10.9601"
C_3x3_eig_003,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 8 & 1 & -1 \\ 1 & 2 & -2 \\ -1 & -2 & -10 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -10.362, 2.1034, 8.2586"
C_3x3_eig_004,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 6 & 2 & -1 \\ 2 & -2 & -1 \\ -1 & -1 & 0 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -2.6904, -0.0, 6.6904"
C_3x3_eig_005,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -2 & 3 & -3 \\ 3 & -6 & 0 \\ -3 & 0 & -8 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -9.7056, -6.7522, 0.4578"
C_3x3_eig_006,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 6 & -6 & -8 \\ -6 & 0 & 1 \\ -8 & 1 & 6 \end{bmatrix}

Show all intermediate steps. Put your final numerical answer inside \boxed{}.","\lambda = -5.1923, 1.5515, 15.6408"
C_3x3_eig_007,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -3 & -5 & 5 \\ 3 & 22 & -21 \\ 3 & 24 & -23 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -3, -2, 1"
C_3x3_eig_008,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 68 & 129 & 96 \\ 0 & 2 & 0 \\ -48 & -94 & -68 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, 2, 4"
C_3x3_eig_009,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -7 & -5 & 0 \\ 2 & 0 & 1 \\ -2 & -2 & -2 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, -3, -2"
C_3x3_eig_010,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -1 & 0 & 0 \\ -30 & 20 & -15 \\ -29 & 20 & -15 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -1, 0, 5"
C_3x3_eig_011,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 0 & -4 \\ 3 & 0 & 4 \\ 0 & -3 & 5 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -1, 0, 3"
C_3x3_eig_012,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 18 & 9 & -14 \\ -22 & -11 & 18 \\ 6 & 3 & -4 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = 0, 1, 2"
C_3x3_eig_013,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -4 & 0 & 0 \\ 0 & -4 & 0 \\ 0 & 0 & -4 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, -4, -4"
C_3x3_eig_014,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 0 & 0 & 0 \\ 8 & -9 & 7 \\ 16 & -18 & 14 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = 0, 0, 5"
C_3x3_eig_015,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -88 & 96 & -40 \\ -176 & 192 & -80 \\ -220 & 240 & -100 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = 0, 0, 4"
C_3x3_eig_016,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -3 & 26 & 32 \\ 1 & 6 & 4 \\ -1 & -2 & 0 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -1, 0, 4"
C_3x3_eig_017,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 15 & -3 & -18 \\ -2 & 2 & 2 \\ 13 & -1 & -16 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -3, 0, 4"
C_3x3_eig_018,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 79 & 6 & -70 \\ -100 & -9 & 88 \\ 80 & 6 & -71 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -3, -1, 3"
C_3x3_eig_019,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -4 & 2 & 0 \\ 0 & -3 & 0 \\ 18 & -68 & 5 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, -3, 5"
C_3x3_eig_020,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 9 & -6 & 0 \\ 4 & -1 & 0 \\ -4 & 6 & 5 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = 3, 5, 5"
C_3x3_eig_021,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -12 & 10 & -30 \\ -8 & 6 & -24 \\ 2 & -2 & 4 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -2, -2, 2"
C_3x3_eig_022,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -102 & -15 & -57 \\ 75 & 8 & 43 \\ 165 & 25 & 92 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -3, -2, 3"
C_3x3_eig_023,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -5 & 0 & 0 \\ 0 & -5 & 0 \\ 0 & 0 & -5 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -5, -5, -5"
C_3x3_eig_024,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -5 & 15 & 15 \\ 0 & -5 & 0 \\ -2 & 11 & 6 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -5, 0, 1"
C_3x3_eig_025,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 1 & 8 & 10 \\ 2 & -14 & -20 \\ -2 & 16 & 22 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = 2, 2, 5"
C_3x3_eig_026,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 7 & 52 & 12 \\ -9 & -52 & -12 \\ 30 & 165 & 38 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, -2, -1"
C_3x3_eig_027,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -15 & 38 & -27 \\ -2 & 1 & -3 \\ 6 & -22 & 12 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, -1, 3"
C_3x3_eig_028,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -115 & 183 & -15 \\ -76 & 121 & -10 \\ -52 & 83 & -8 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -3, -1, 2"
C_3x3_eig_029,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} 138 & -82 & -54 \\ 179 & -105 & -72 \\ 89 & -55 & -32 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -5, 2, 4"
C_3x3_eig_030,eigenvalue,"Find the eigenvalues of the 3×3 matrix A.

A = \begin{bmatrix} -8 & -2 & 0 \\ 12 & 2 & 0 \\ 42 & 14 & 3 \end{bmatrix}

Compute the characteristic polynomial det(A − λI) = 0 and solve for λ.
Show all steps. List all eigenvalues inside \boxed{}.","\lambda = -4, -2, 3"
C_3x3_matvec_001,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} -3 & 4 & -2 \\ -2 & 5 & -4 \\ 5 & 5 & 1 \end{bmatrix}

x = \begin{bmatrix} -4 \\ -4 \\ -2 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} 0 \\ -4 \\ -42 \end{bmatrix}
C_3x3_matvec_002,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} 1 & -4 & 0 \\ -4 & 0 & -5 \\ 2 & -5 & -3 \end{bmatrix}

x = \begin{bmatrix} -4 \\ 4 \\ -5 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} -20 \\ 41 \\ -13 \end{bmatrix}
C_3x3_matvec_003,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} -1 & 1 & 0 \\ 2 & 3 & -1 \\ 4 & -2 & 5 \end{bmatrix}

x = \begin{bmatrix} 0 \\ 3 \\ 4 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} 3 \\ 5 \\ 14 \end{bmatrix}
C_3x3_matvec_004,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} 3 & 4 & 0 \\ -5 & 0 & -4 \\ 4 & -3 & -3 \end{bmatrix}

x = \begin{bmatrix} -3 \\ 2 \\ 1 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} -1 \\ 11 \\ -21 \end{bmatrix}
C_3x3_matvec_005,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} 5 & -1 & -2 \\ -5 & -5 & -1 \\ 5 & 0 & 4 \end{bmatrix}

x = \begin{bmatrix} -4 \\ -4 \\ 4 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} -24 \\ 36 \\ -4 \end{bmatrix}
C_3x3_matvec_006,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} -4 & -5 & -1 \\ 5 & 2 & -4 \\ 4 & 4 & 3 \end{bmatrix}

x = \begin{bmatrix} 4 \\ -3 \\ 5 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} -6 \\ -6 \\ 19 \end{bmatrix}
C_3x3_matvec_007,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} -2 & 3 & 1 \\ 3 & 1 & 2 \\ 1 & 3 & 3 \end{bmatrix}

x = \begin{bmatrix} -4 \\ 4 \\ 0 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} 20 \\ -8 \\ 8 \end{bmatrix}
C_3x3_matvec_008,matrix_vector,"Compute the matrix-vector product b = A·x for the 3×3 matrix A and vector x.

A = \begin{bmatrix} -2 & 0 & 5 \\ 4 & 4 & 0 \\ 3 & -1 & 2 \end{bmatrix}

x = \begin{bmatrix} 2 \\ -3 \\ -3 \end{bmatrix}

Compute each entry of b by taking the dot product of each row of A with x.
Show your steps. Put the final vector b inside \boxed{}.",Ax = \begin{bmatrix} -19 \\ -4 \\ 3 \end{bmatrix}
