Problem_ID,Subcat,problem_latex,answer_latex
C_4x4_det_020,determinant,A = \begin{bmatrix} 3 & 0 & 5 & 0 \\ -4 & 5 & -2 & 2 \\ -5 & -5 & -2 & -5 \\ -3 & -1 & -4 & 5 \end{bmatrix},\det(A) = 978
C_4x4_det_021,determinant,A = \begin{bmatrix} 0 & -5 & 0 & -5 \\ 3 & 5 & 3 & 2 \\ -5 & -2 & 1 & 1 \\ -1 & -1 & 3 & 3 \end{bmatrix},\det(A) = 390
C_4x4_det_022,determinant,A = \begin{bmatrix} -2 & -4 & 3 & -2 \\ -2 & 2 & 2 & 4 \\ -3 & 4 & 4 & 0 \\ -1 & 5 & 5 & -5 \end{bmatrix},\det(A) = -238
C_4x4_det_023,determinant,A = \begin{bmatrix} 3 & -1 & 3 & 1 \\ -3 & -3 & 3 & -1 \\ 5 & 0 & -2 & -2 \\ 1 & 3 & -2 & 1 \end{bmatrix},\det(A) = -52
C_4x4_det_024,determinant,A = \begin{bmatrix} -4 & 5 & 3 & 4 \\ 4 & -2 & 1 & -5 \\ 3 & 5 & -5 & 1 \\ -3 & -1 & -5 & -4 \end{bmatrix},\det(A) = -1561
C_4x4_det_025,determinant,A = \begin{bmatrix} -3 & -1 & 0 & -5 \\ -1 & 2 & 2 & 0 \\ -2 & 5 & -1 & -4 \\ 0 & -1 & 5 & 2 \end{bmatrix},\det(A) = -82
C_4x4_det_026,determinant,A = \begin{bmatrix} 5 & -4 & 1 & 3 \\ -2 & 2 & 3 & 4 \\ 1 & 1 & -4 & -1 \\ 2 & 3 & -2 & -2 \end{bmatrix},\det(A) = 382
C_4x4_det_027,determinant,A = \begin{bmatrix} 2 & -5 & -3 & 3 \\ 2 & 3 & 3 & 4 \\ -2 & -1 & 1 & 3 \\ -1 & 2 & -4 & -2 \end{bmatrix},\det(A) = 536
C_4x4_det_028,determinant,A = \begin{bmatrix} 2 & 3 & -5 & 5 \\ 3 & -2 & 2 & -2 \\ -4 & 1 & 4 & 4 \\ -5 & 1 & -5 & 5 \end{bmatrix},\det(A) = -528
C_4x4_det_029,determinant,A = \begin{bmatrix} -1 & 5 & 0 & 2 \\ -5 & 2 & 1 & -4 \\ -1 & -2 & -5 & 3 \\ 2 & -1 & -2 & -3 \end{bmatrix},\det(A) = 741
C_4x4_det_030,determinant,A = \begin{bmatrix} 3 & -5 & 0 & -3 \\ -5 & 1 & -2 & 5 \\ 2 & -1 & 5 & 3 \\ 0 & -4 & -5 & 4 \end{bmatrix},\det(A) = -814
C_4x4_det_031,determinant,A = \begin{bmatrix} -5 & -4 & 2 & 2 \\ -5 & -2 & -2 & -2 \\ -5 & 4 & 3 & -2 \\ -4 & -3 & -2 & -3 \end{bmatrix},\det(A) = 330
C_4x4_det_032,determinant,A = \begin{bmatrix} 5 & -1 & -5 & -1 \\ -5 & -5 & 3 & -1 \\ 2 & 5 & -3 & -5 \\ 4 & 4 & 3 & -3 \end{bmatrix},\det(A) = -1356
C_4x4_det_033,determinant,A = \begin{bmatrix} 4 & -5 & 2 & 3 \\ -2 & 3 & -1 & 2 \\ 5 & -3 & -3 & 0 \\ 2 & 0 & 0 & 3 \end{bmatrix},\det(A) = 123
C_4x4_det_034,determinant,A = \begin{bmatrix} 0 & 4 & 2 & -4 \\ -3 & -1 & -2 & -2 \\ 1 & -1 & -5 & 0 \\ 1 & -3 & -1 & 5 \end{bmatrix},\det(A) = -60
C_4x4_det_035,determinant,A = \begin{bmatrix} -5 & 2 & 4 & 2 \\ 2 & -5 & -3 & 2 \\ -1 & -4 & 0 & 0 \\ 0 & 0 & 2 & 3 \end{bmatrix},\det(A) = 182
C_4x4_det_036,determinant,A = \begin{bmatrix} 0 & 5 & -1 & -4 \\ -4 & -2 & 1 & -4 \\ -3 & 1 & -2 & 3 \\ -3 & 5 & 3 & 0 \end{bmatrix},\det(A) = -937
C_4x4_det_037,determinant,A = \begin{bmatrix} 2 & 2 & -2 & -4 \\ -1 & -2 & -2 & 1 \\ 2 & 1 & -5 & 5 \\ -3 & -4 & -2 & -5 \end{bmatrix},\det(A) = -40
C_4x4_det_038,determinant,A = \begin{bmatrix} 3 & -5 & 1 & -2 \\ 5 & 5 & -5 & 5 \\ -2 & 5 & -4 & -1 \\ 5 & 1 & -3 & 0 \end{bmatrix},\det(A) = 250
C_4x4_det_039,determinant,A = \begin{bmatrix} -5 & 2 & -3 & 5 \\ 5 & 4 & -2 & 5 \\ 3 & -3 & 1 & -1 \\ 3 & -4 & 0 & -3 \end{bmatrix},\det(A) = -298
C_4x4_det_040,determinant,A = \begin{bmatrix} -2 & 1 & -5 & -1 \\ 3 & 4 & 5 & 3 \\ 5 & 5 & -4 & -2 \\ -5 & 4 & 0 & 0 \end{bmatrix},\det(A) = -648
C_4x4_det_041,determinant,A = \begin{bmatrix} -4 & 0 & 4 & -1 \\ -4 & -3 & -5 & 5 \\ -3 & -3 & -4 & 1 \\ 4 & 2 & 0 & 4 \end{bmatrix},\det(A) = 66
C_4x4_det_042,determinant,A = \begin{bmatrix} -3 & -3 & 4 & 3 \\ -2 & -3 & -4 & 2 \\ 2 & 4 & -5 & -5 \\ 1 & -1 & 1 & -1 \end{bmatrix},\det(A) = 141
C_4x4_det_043,determinant,A = \begin{bmatrix} -4 & 0 & 4 & -4 \\ -3 & -4 & 4 & -1 \\ 0 & 3 & -4 & 1 \\ 2 & -4 & -4 & -1 \end{bmatrix},\det(A) = 380
C_4x4_det_044,determinant,A = \begin{bmatrix} -2 & -1 & 5 & 3 \\ 3 & 2 & 0 & 3 \\ 4 & 2 & 3 & 1 \\ 4 & -5 & -4 & -1 \end{bmatrix},\det(A) = -653
C_4x4_det_045,determinant,A = \begin{bmatrix} 1 & 1 & 4 & 3 \\ 0 & -3 & 2 & 2 \\ 1 & 4 & -2 & 1 \\ 3 & -4 & 0 & -5 \end{bmatrix},\det(A) = -224
C_4x4_det_046,determinant,A = \begin{bmatrix} 5 & 2 & 5 & 4 \\ -1 & -2 & -3 & -2 \\ 4 & -3 & 1 & -2 \\ 0 & -5 & 5 & 4 \end{bmatrix},\det(A) = -328
C_4x4_det_047,determinant,A = \begin{bmatrix} 1 & 5 & 3 & -3 \\ 4 & 5 & -5 & -4 \\ 5 & -4 & -5 & 3 \\ 0 & -5 & 3 & 5 \end{bmatrix},\det(A) = -121
C_4x4_det_048,determinant,A = \begin{bmatrix} 1 & 0 & -5 & -1 \\ 1 & -1 & -4 & -3 \\ 5 & 4 & 0 & -5 \\ -3 & 1 & -2 & -2 \end{bmatrix},\det(A) = 331
C_4x4_det_049,determinant,A = \begin{bmatrix} -5 & -2 & 4 & -3 \\ 4 & -5 & -5 & -5 \\ 2 & 2 & -5 & 4 \\ 5 & 2 & 5 & -1 \end{bmatrix},\det(A) = 60
C_4x4_det_050,determinant,A = \begin{bmatrix} -5 & 5 & -4 & -4 \\ 5 & 5 & -2 & -1 \\ -5 & -3 & -3 & -5 \\ -2 & -4 & -2 & -4 \end{bmatrix},\det(A) = -26
C_4x4_eig_001,eigenvalue,A = \begin{bmatrix} -2 & -1 & 4 & 0 \\ -1 & -8 & -5 & -2 \\ 4 & -5 & 0 & 2 \\ 0 & -2 & 2 & -2 \end{bmatrix},"\lambda = -10.5867, -5.1124, -1.8209, 5.52"
C_4x4_eig_002,eigenvalue,A = \begin{bmatrix} -2 & 0 & 3 & 4 \\ 0 & -2 & 2 & -2 \\ 3 & 2 & 6 & -5 \\ 4 & -2 & -5 & -2 \end{bmatrix},"\lambda = -8.3425, -2.7083, 1.9194, 9.1315"
C_4x4_eig_003,eigenvalue,A = \begin{bmatrix} 6 & 7 & -6 & -2 \\ 7 & 2 & 5 & 2 \\ -6 & 5 & -4 & 4 \\ -2 & 2 & 4 & -8 \end{bmatrix},"\lambda = -11.7316, -9.2777, 5.3714, 11.6379"
C_4x4_eig_004,eigenvalue,A = \begin{bmatrix} 6 & 0 & -1 & 0 \\ 0 & 6 & 0 & 3 \\ -1 & 0 & 0 & -2 \\ 0 & 3 & -2 & -4 \end{bmatrix},"\lambda = -5.5179, 0.4744, 6.1601, 6.8834"
C_4x4_eig_005,eigenvalue,A = \begin{bmatrix} 2 & -1 & -4 & 4 \\ -1 & -4 & 5 & 4 \\ -4 & 5 & 6 & 7 \\ 4 & 4 & 7 & 4 \end{bmatrix},"\lambda = -6.4617, -5.8667, 5.9685, 14.3599"
C_4x4_eig_006,eigenvalue,A = \begin{bmatrix} -2 & -2 & 1 & -6 \\ -2 & -8 & -5 & 6 \\ 1 & -5 & -4 & 1 \\ -6 & 6 & 1 & -8 \end{bmatrix},"\lambda = -16.1957, -8.128, -2.2247, 4.5483"
C_4x4_eig_007,eigenvalue,A = \begin{bmatrix} -8 & 0 & 0 & 3 \\ 0 & 8 & -5 & -6 \\ 0 & -5 & -4 & -1 \\ 3 & -6 & -1 & -2 \end{bmatrix},"\lambda = -10.0111, -6.7045, -1.2535, 11.969"
C_4x4_eig_008,eigenvalue,A = \begin{bmatrix} 8 & 4 & 2 & -3 \\ 4 & 8 & 1 & 2 \\ 2 & 1 & 8 & 2 \\ -3 & 2 & 2 & 0 \end{bmatrix},"\lambda = -2.5501, 5.9113, 7.7143, 12.9245"
C_4x4_eig_009,eigenvalue,A = \begin{bmatrix} 6 & 1 & 5 & 0 \\ 1 & 8 & 6 & -1 \\ 5 & 6 & 4 & 1 \\ 0 & -1 & 1 & -6 \end{bmatrix},"\lambda = -6.3834, -1.6922, 5.862, 14.2136"
C_4x4_eig_010,eigenvalue,A = \begin{bmatrix} -6 & 1 & 3 & -2 \\ 1 & 6 & 4 & 5 \\ 3 & 4 & 0 & 2 \\ -2 & 5 & 2 & 4 \end{bmatrix},"\lambda = -7.8413, -1.7291, 1.8129, 11.7575"
C_4x4_eig_011,eigenvalue,A = \begin{bmatrix} -2 & 5 & 3 & -4 \\ 5 & 6 & -1 & 1 \\ 3 & -1 & -8 & -4 \\ -4 & 1 & -4 & -6 \end{bmatrix},"\lambda = -11.1252, -8.8303, 1.4636, 8.4919"
C_4x4_eig_012,eigenvalue,A = \begin{bmatrix} 0 & -4 & 3 & -5 \\ -4 & 2 & -4 & -4 \\ 3 & -4 & 6 & 1 \\ -5 & -4 & 1 & -8 \end{bmatrix},"\lambda = -12.4462, 0.3765, 1.4462, 10.6235"
C_4x4_eig_013,eigenvalue,A = \begin{bmatrix} 8 & 7 & 0 & 0 \\ 7 & 8 & -5 & 1 \\ 0 & -5 & 0 & -1 \\ 0 & 1 & -1 & 2 \end{bmatrix},"\lambda = -3.4825, 1.4716, 4.111, 15.8999"
C_4x4_eig_014,eigenvalue,A = \begin{bmatrix} -8 & -3 & -3 & -3 \\ -3 & 6 & 0 & -2 \\ -3 & 0 & 6 & -2 \\ -3 & -2 & -2 & -8 \end{bmatrix},"\lambda = -12.371, -5.0655, 6.0, 7.4364"
C_4x4_eig_015,eigenvalue,A = \begin{bmatrix} -2 & 6 & 8 & -4 \\ 6 & -8 & 1 & 3 \\ 8 & 1 & 0 & -4 \\ -4 & 3 & -4 & 0 \end{bmatrix},"\lambda = -13.8381, -6.8698, 0.0632, 10.6446"
C_4x4_eig_016,eigenvalue,A = \begin{bmatrix} 6 & 8 & -7 & -8 \\ 8 & -2 & -5 & 0 \\ -7 & -5 & 0 & 4 \\ -8 & 0 & 4 & 6 \end{bmatrix},"\lambda = -8.5737, -4.6296, 3.0033, 20.2"
C_4x4_eig_017,eigenvalue,A = \begin{bmatrix} 2 & -4 & 4 & 5 \\ -4 & 2 & -5 & -3 \\ 4 & -5 & -8 & -1 \\ 5 & -3 & -1 & 4 \end{bmatrix},"\lambda = -11.1104, -2.5299, 1.8639, 11.7764"
C_4x4_eig_018,eigenvalue,A = \begin{bmatrix} 2 & -3 & -2 & -5 \\ -3 & 2 & -1 & -3 \\ -2 & -1 & 0 & 1 \\ -5 & -3 & 1 & 6 \end{bmatrix},"\lambda = -4.6544, 0.0368, 4.7108, 9.9068"
C_4x4_eig_019,eigenvalue,A = \begin{bmatrix} 6 & 2 & 5 & -5 \\ 2 & -8 & 3 & 2 \\ 5 & 3 & 2 & 2 \\ -5 & 2 & 2 & 0 \end{bmatrix},"\lambda = -9.3258, -5.3279, 3.9152, 10.7384"
C_4x4_eig_020,eigenvalue,A = \begin{bmatrix} 8 & -2 & -4 & -5 \\ -2 & -2 & 2 & -1 \\ -4 & 2 & -8 & -2 \\ -5 & -1 & -2 & -8 \end{bmatrix},"\lambda = -12.0303, -7.0383, -1.3229, 10.3915"
C_4x4_eig_021,eigenvalue,A = \begin{bmatrix} -20 & -21 & -12 & -12 \\ 2 & 3 & 2 & 2 \\ 40 & 40 & 24 & 24 \\ -8 & -8 & -6 & -6 \end{bmatrix},"\lambda = -2, 0, 1, 2"
C_4x4_eig_022,eigenvalue,A = \begin{bmatrix} 54 & 8 & 8 & 32 \\ -33 & -6 & -6 & -20 \\ 25 & 0 & 8 & 20 \\ -89 & -12 & -14 & -54 \end{bmatrix},"\lambda = -2, -2, 2, 4"
C_4x4_eig_023,eigenvalue,A = \begin{bmatrix} 1 & -41 & -41 & -115 \\ 1 & 15 & 14 & 40 \\ -4 & 14 & 15 & 50 \\ 1 & -11 & -11 & -34 \end{bmatrix},"\lambda = -4, -3, 1, 3"
C_4x4_eig_024,eigenvalue,A = \begin{bmatrix} -6 & -30 & -22 & -10 \\ -25 & -86 & -62 & -25 \\ 25 & 86 & 62 & 25 \\ 27 & 102 & 74 & 31 \end{bmatrix},"\lambda = -4, 0, 1, 4"
C_4x4_eig_025,eigenvalue,A = \begin{bmatrix} -2 & 0 & -6 & 6 \\ 0 & -2 & -6 & 6 \\ 0 & 0 & -2 & 0 \\ 0 & 0 & -6 & 4 \end{bmatrix},"\lambda = -2, -2, -2, 4"
C_4x4_eig_026,eigenvalue,A = \begin{bmatrix} 0 & 0 & 0 & 0 \\ 0 & 0 & 0 & 0 \\ 0 & 0 & 0 & 0 \\ 0 & 0 & 0 & 0 \end{bmatrix},"\lambda = 0, 0, 0, 0"
C_4x4_eig_027,eigenvalue,A = \begin{bmatrix} 3 & 0 & 0 & 0 \\ 0 & 3 & 0 & 0 \\ 0 & 0 & 3 & 0 \\ 0 & 0 & 0 & 3 \end{bmatrix},"\lambda = 3, 3, 3, 3"
C_4x4_eig_028,eigenvalue,A = \begin{bmatrix} 513 & 176 & 896 & -288 \\ -640 & -219 & -1120 & 360 \\ -128 & -44 & -223 & 72 \\ 128 & 44 & 224 & -71 \end{bmatrix},"\lambda = -3, 1, 1, 1"
C_4x4_eig_029,eigenvalue,A = \begin{bmatrix} 1 & 0 & 0 & 0 \\ 0 & 1 & 0 & 0 \\ 0 & 0 & 1 & 0 \\ 0 & 0 & 0 & 1 \end{bmatrix},"\lambda = 1, 1, 1, 1"
C_4x4_eig_030,eigenvalue,A = \begin{bmatrix} -3 & 0 & 0 & 0 \\ 0 & -3 & 0 & 0 \\ 0 & 0 & -3 & 0 \\ 0 & 0 & 0 & -3 \end{bmatrix},"\lambda = -3, -3, -3, -3"
C_4x4_matvec_001,matrix_vector,"A = \begin{bmatrix} -3 & -1 & 1 & 2 \\ 4 & 4 & 3 & 3 \\ -1 & 3 & -5 & -3 \\ 4 & -2 & -2 & 1 \end{bmatrix}, \quad x = \begin{bmatrix} 4 \\ 0 \\ 3 \\ 0 \end{bmatrix}",Ax = \begin{bmatrix} -9 \\ 25 \\ -19 \\ 10 \end{bmatrix}
C_4x4_matvec_002,matrix_vector,"A = \begin{bmatrix} 0 & -3 & -1 & -5 \\ -1 & 4 & 4 & -4 \\ -5 & -1 & 0 & 5 \\ 3 & 0 & 0 & -1 \end{bmatrix}, \quad x = \begin{bmatrix} 0 \\ -5 \\ -3 \\ -1 \end{bmatrix}",Ax = \begin{bmatrix} 23 \\ -28 \\ 0 \\ 1 \end{bmatrix}
C_4x4_matvec_003,matrix_vector,"A = \begin{bmatrix} -2 & -2 & 0 & 3 \\ -5 & 0 & 1 & 3 \\ -2 & -2 & -1 & -3 \\ 4 & -1 & 3 & -2 \end{bmatrix}, \quad x = \begin{bmatrix} 1 \\ 0 \\ 3 \\ -5 \end{bmatrix}",Ax = \begin{bmatrix} -17 \\ -17 \\ 10 \\ 23 \end{bmatrix}
C_4x4_matvec_004,matrix_vector,"A = \begin{bmatrix} -1 & 2 & -1 & 0 \\ -1 & 3 & 4 & -3 \\ -3 & -2 & -3 & 4 \\ -2 & 3 & -1 & 2 \end{bmatrix}, \quad x = \begin{bmatrix} 4 \\ 5 \\ 1 \\ 0 \end{bmatrix}",Ax = \begin{bmatrix} 5 \\ 15 \\ -25 \\ 6 \end{bmatrix}
C_4x4_matvec_005,matrix_vector,"A = \begin{bmatrix} 1 & 5 & 2 & -4 \\ 2 & -2 & -3 & 5 \\ -2 & -3 & 3 & 4 \\ -4 & 5 & 3 & -2 \end{bmatrix}, \quad x = \begin{bmatrix} -5 \\ 3 \\ -2 \\ 5 \end{bmatrix}",Ax = \begin{bmatrix} -14 \\ 15 \\ 15 \\ 19 \end{bmatrix}
C_4x4_matvec_006,matrix_vector,"A = \begin{bmatrix} 3 & 4 & 1 & 2 \\ 1 & 5 & 5 & 5 \\ 1 & -2 & -5 & 1 \\ -4 & -2 & 0 & -1 \end{bmatrix}, \quad x = \begin{bmatrix} 0 \\ -1 \\ -4 \\ 4 \end{bmatrix}",Ax = \begin{bmatrix} 0 \\ -5 \\ 26 \\ -2 \end{bmatrix}
C_4x4_matvec_007,matrix_vector,"A = \begin{bmatrix} 2 & -1 & 1 & -2 \\ -5 & 4 & 0 & 5 \\ 0 & 2 & 2 & -5 \\ 2 & 5 & -2 & -5 \end{bmatrix}, \quad x = \begin{bmatrix} -1 \\ 2 \\ 3 \\ 2 \end{bmatrix}",Ax = \begin{bmatrix} -5 \\ 23 \\ 0 \\ -8 \end{bmatrix}
C_4x4_matvec_008,matrix_vector,"A = \begin{bmatrix} -3 & -5 & -3 & -5 \\ -5 & -3 & 2 & -4 \\ 0 & -2 & 4 & -3 \\ -4 & -3 & 4 & -2 \end{bmatrix}, \quad x = \begin{bmatrix} 5 \\ -5 \\ 1 \\ 2 \end{bmatrix}",Ax = \begin{bmatrix} -3 \\ -16 \\ 8 \\ -5 \end{bmatrix}
C_4x4_matvec_009,matrix_vector,"A = \begin{bmatrix} 2 & 0 & -5 & -2 \\ 0 & 4 & -2 & -1 \\ -1 & -1 & -2 & -1 \\ 3 & -4 & -5 & -1 \end{bmatrix}, \quad x = \begin{bmatrix} -5 \\ 5 \\ 1 \\ 5 \end{bmatrix}",Ax = \begin{bmatrix} -25 \\ 13 \\ -7 \\ -45 \end{bmatrix}
C_4x4_matvec_010,matrix_vector,"A = \begin{bmatrix} -5 & 1 & 4 & 3 \\ -3 & 1 & -2 & -4 \\ -1 & -3 & 1 & -4 \\ -1 & -2 & -2 & 1 \end{bmatrix}, \quad x = \begin{bmatrix} 2 \\ -5 \\ -5 \\ -1 \end{bmatrix}",Ax = \begin{bmatrix} -38 \\ 3 \\ 12 \\ 17 \end{bmatrix}
C_4x4_matvec_011,matrix_vector,"A = \begin{bmatrix} 1 & 2 & -4 & 4 \\ 3 & 4 & -2 & 0 \\ 0 & -3 & -1 & -4 \\ -3 & 0 & -2 & -4 \end{bmatrix}, \quad x = \begin{bmatrix} 4 \\ -4 \\ -3 \\ -3 \end{bmatrix}",b = \begin{bmatrix} -4 \\ 2 \\ 27 \\ 6 \end{bmatrix}
C_4x4_matvec_012,matrix_vector,"A = \begin{bmatrix} 0 & 4 & -4 & -3 \\ -2 & -4 & -4 & 4 \\ -2 & 1 & 3 & 2 \\ -4 & -1 & -4 & 4 \end{bmatrix}, \quad x = \begin{bmatrix} 0 \\ 5 \\ -1 \\ 1 \end{bmatrix}",b = \begin{bmatrix} 21 \\ -12 \\ 4 \\ 3 \end{bmatrix}
C_4x4_matvec_013,matrix_vector,"A = \begin{bmatrix} -4 & 4 & 3 & 0 \\ -2 & -1 & -1 & 3 \\ -2 & 1 & 3 & -3 \\ 2 & 0 & -3 & -4 \end{bmatrix}, \quad x = \begin{bmatrix} 4 \\ 4 \\ -5 \\ 0 \end{bmatrix}",b = \begin{bmatrix} -15 \\ -7 \\ -19 \\ 23 \end{bmatrix}
C_4x4_matvec_014,matrix_vector,"A = \begin{bmatrix} -4 & -4 & -4 & 4 \\ 0 & 4 & 2 & 2 \\ -4 & -1 & 1 & 1 \\ -3 & -4 & 1 & -4 \end{bmatrix}, \quad x = \begin{bmatrix} 5 \\ -2 \\ 5 \\ -1 \end{bmatrix}",b = \begin{bmatrix} -36 \\ 0 \\ -14 \\ 2 \end{bmatrix}
C_4x4_matvec_015,matrix_vector,"A = \begin{bmatrix} -1 & 2 & 4 & -3 \\ -1 & -3 & 2 & 2 \\ -3 & 3 & 4 & 3 \\ 3 & 2 & -2 & 4 \end{bmatrix}, \quad x = \begin{bmatrix} -2 \\ 0 \\ 2 \\ 3 \end{bmatrix}",b = \begin{bmatrix} 1 \\ 12 \\ 23 \\ 2 \end{bmatrix}
C_4x4_matvec_016,matrix_vector,"A = \begin{bmatrix} -2 & -1 & 0 & -1 \\ -2 & 4 & -2 & -1 \\ -3 & 2 & 3 & 0 \\ -4 & -3 & -2 & -3 \end{bmatrix}, \quad x = \begin{bmatrix} -3 \\ 0 \\ 1 \\ 2 \end{bmatrix}",b = \begin{bmatrix} 4 \\ 2 \\ 12 \\ 4 \end{bmatrix}
C_4x4_matvec_017,matrix_vector,"A = \begin{bmatrix} 4 & 2 & 0 & -1 \\ 3 & -4 & 2 & 0 \\ 0 & -3 & -2 & -2 \\ -4 & 1 & 1 & -1 \end{bmatrix}, \quad x = \begin{bmatrix} 4 \\ 0 \\ -5 \\ -5 \end{bmatrix}",b = \begin{bmatrix} 21 \\ 2 \\ 20 \\ -16 \end{bmatrix}
C_4x4_matvec_018,matrix_vector,"A = \begin{bmatrix} -1 & -3 & 3 & 3 \\ 4 & 0 & 0 & 3 \\ 1 & 3 & -3 & -3 \\ -4 & -1 & 3 & 0 \end{bmatrix}, \quad x = \begin{bmatrix} 1 \\ -4 \\ -4 \\ -5 \end{bmatrix}",b = \begin{bmatrix} -16 \\ -11 \\ 16 \\ -12 \end{bmatrix}
C_4x4_matvec_019,matrix_vector,"A = \begin{bmatrix} -1 & 3 & 2 & 3 \\ -2 & -1 & 4 & 2 \\ 2 & 0 & -4 & 2 \\ -1 & -2 & 2 & 0 \end{bmatrix}, \quad x = \begin{bmatrix} -4 \\ 4 \\ -1 \\ 3 \end{bmatrix}",b = \begin{bmatrix} 23 \\ 6 \\ 2 \\ -6 \end{bmatrix}
C_4x4_matvec_020,matrix_vector,"A = \begin{bmatrix} -1 & -2 & 3 & 3 \\ -2 & -1 & 0 & 2 \\ 0 & 2 & 3 & -1 \\ 3 & 3 & 4 & 0 \end{bmatrix}, \quad x = \begin{bmatrix} 4 \\ 5 \\ 5 \\ 5 \end{bmatrix}",b = \begin{bmatrix} 16 \\ -3 \\ 20 \\ 47 \end{bmatrix}
